n_cells_sequenced, mosaicism_rate_pct
3.04494506506213, 33.32017370706673
4.029256501921671, 49.93091196210028
5.050128813495849, 20.29214370311884
6.024141412407605, 49.93091196210028
7.038319479315721, 28.760363205684968
7.999201059844053, 75.00986971969996
8.01902632289354, 49.93091196210028
8.028810218943935, 37.554283458349786
8.03859411499433, 25.177654954599305
8.048378011044726, 12.80102645084881
9.012091772008697, 55.46782471377813
9.085470992386664, 11.172522700355316
9.998205505509103, 69.79865771812081
10.00592963396994, 60.02763521515989
10.037341089710685, 20.29214370311884
10.045322689120217, 10.195420450059231
10.993330722213814, 72.72996446900908
11.021909997518916, 36.5771812080537
11.036328370645817, 18.337939202526655
12.0283639359662, 25.177654954599305
13.00932825049271, 46.022502960915915
14.026081026887772, 21.594946703513628
